epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1962.17,1.47016,4.20228,1.65795,0.51267,0.13031,0.07837,0.04115,1.44367,3.62369,1.76666,6.06346e-05,6.06346e-05,6.06346e-05
2,3886.59,1.43879,3.45365,1.66396,0.42898,0.20949,0.13808,0.07383,1.44928,3.12076,1.81126,0.000118899,0.000118899,0.000118899
3,6076.14,1.42713,3.14629,1.64086,0.43901,0.2202,0.16653,0.09392,1.42165,2.94647,1.74465,0.000174762,0.000174762,0.000174762
4,7887.72,1.40511,2.95301,1.60418,0.48846,0.24742,0.21123,0.12202,1.40346,2.65207,1.66946,0.000171189,0.000171189,0.000171189
5,9603.33,1.38829,2.81506,1.57333,0.35272,0.32754,0.23073,0.13422,1.41714,2.50019,1.70459,0.000167586,0.000167586,0.000167586
6,11629.2,1.37175,2.70372,1.55529,0.41356,0.32433,0.27165,0.16268,1.43453,2.3343,1.68455,0.000163982,0.000163982,0.000163982
7,13380.3,1.36757,2.60415,1.53528,0.42521,0.40588,0.31085,0.17767,1.40722,2.26303,1.66067,0.000160378,0.000160378,0.000160378
8,15221.2,1.3609,2.54232,1.5295,0.43834,0.37111,0.31705,0.19023,1.37215,2.13326,1.61755,0.000156775,0.000156775,0.000156775
9,17065.9,1.34757,2.456,1.51602,0.50213,0.34567,0.33108,0.19834,1.3987,2.07091,1.64078,0.000153171,0.000153171,0.000153171
10,18783.8,1.34068,2.40097,1.49945,0.44952,0.39461,0.35165,0.21104,1.37222,2.00837,1.60631,0.000149568,0.000149568,0.000149568
11,20575.5,1.3333,2.35024,1.49547,0.4006,0.47106,0.38136,0.22981,1.36062,1.90134,1.58066,0.000145964,0.000145964,0.000145964
12,22323.2,1.32998,2.29314,1.49018,0.44579,0.42374,0.38321,0.23127,1.35047,1.8957,1.56722,0.00014236,0.00014236,0.00014236
13,24109.4,1.31814,2.25518,1.48247,0.4965,0.42659,0.38443,0.23201,1.37792,1.89538,1.58876,0.000138757,0.000138757,0.000138757
14,25894.4,1.31387,2.22277,1.47728,0.47521,0.4259,0.39522,0.24369,1.3549,1.81329,1.57497,0.000135153,0.000135153,0.000135153
15,27682.8,1.30933,2.16677,1.47197,0.44221,0.48623,0.41453,0.25323,1.36247,1.83517,1.58961,0.00013155,0.00013155,0.00013155
16,29447.5,1.31203,2.1501,1.4706,0.34214,0.4981,0.41915,0.25293,1.37191,1.74032,1.58387,0.000127946,0.000127946,0.000127946
17,31387.5,1.30576,2.11595,1.46318,0.45857,0.45894,0.42789,0.26763,1.33803,1.72384,1.55021,0.000124342,0.000124342,0.000124342
18,33565.5,1.30244,2.08147,1.46104,0.37051,0.49081,0.43563,0.26986,1.3511,1.68709,1.55557,0.000120739,0.000120739,0.000120739
19,35389.3,1.28894,2.046,1.45235,0.36506,0.57478,0.45461,0.27425,1.3529,1.68112,1.57588,0.000117135,0.000117135,0.000117135
20,37245,1.29417,2.0349,1.45008,0.39085,0.53735,0.4755,0.2909,1.35703,1.64131,1.56626,0.000113532,0.000113532,0.000113532
21,39206.9,1.28435,2.01047,1.44598,0.36986,0.51644,0.46997,0.28958,1.34088,1.60432,1.54949,0.000109928,0.000109928,0.000109928
22,41327,1.27813,1.98733,1.44083,0.38431,0.5387,0.47522,0.29404,1.34613,1.58246,1.56704,0.000106324,0.000106324,0.000106324
23,43205.3,1.27876,1.96836,1.44236,0.40846,0.52937,0.48985,0.30246,1.33476,1.58159,1.54061,0.000102721,0.000102721,0.000102721
24,45369.5,1.27586,1.93207,1.43877,0.39747,0.53701,0.4887,0.30052,1.3354,1.57818,1.53433,9.91172e-05,9.91172e-05,9.91172e-05
25,47364,1.27312,1.9096,1.43893,0.47512,0.49482,0.48797,0.30054,1.34079,1.56532,1.54699,9.55136e-05,9.55136e-05,9.55136e-05
26,49467.7,1.26338,1.90687,1.43053,0.38731,0.56767,0.49756,0.30442,1.34574,1.56202,1.55593,9.191e-05,9.191e-05,9.191e-05
27,51529,1.26104,1.87743,1.4246,0.41003,0.57428,0.50884,0.31322,1.33946,1.49254,1.54413,8.83064e-05,8.83064e-05,8.83064e-05
28,53738.7,1.26877,1.85942,1.42542,0.39198,0.60576,0.52435,0.32378,1.33717,1.48475,1.54056,8.47028e-05,8.47028e-05,8.47028e-05
29,55942.2,1.25832,1.85791,1.42726,0.44851,0.54578,0.52008,0.31964,1.33156,1.45873,1.53472,8.10992e-05,8.10992e-05,8.10992e-05
30,58046,1.25398,1.82139,1.4168,0.4233,0.60032,0.53242,0.32937,1.34102,1.45931,1.54168,7.74956e-05,7.74956e-05,7.74956e-05
31,60338,1.24869,1.81583,1.41535,0.46619,0.57767,0.54785,0.33841,1.33696,1.43313,1.53445,7.3892e-05,7.3892e-05,7.3892e-05
32,62952.3,1.25098,1.80797,1.41651,0.42728,0.60903,0.55339,0.3418,1.3353,1.40405,1.53631,7.02884e-05,7.02884e-05,7.02884e-05
33,65125.4,1.24188,1.78995,1.41055,0.41172,0.62529,0.54585,0.33734,1.3239,1.39829,1.52748,6.66848e-05,6.66848e-05,6.66848e-05
34,68212.4,1.24632,1.77651,1.41521,0.44811,0.57904,0.53749,0.33526,1.32587,1.41248,1.53003,6.30812e-05,6.30812e-05,6.30812e-05
35,70394.9,1.23423,1.75926,1.40275,0.45817,0.60002,0.55001,0.33945,1.32752,1.37412,1.53313,5.94776e-05,5.94776e-05,5.94776e-05
36,72365.5,1.23586,1.74202,1.39886,0.41553,0.60313,0.53962,0.33588,1.32863,1.36726,1.5288,5.5874e-05,5.5874e-05,5.5874e-05
